Year,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Rep.,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Rep.,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Rep.,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.","Korea, United",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Ngorno-Karabakh,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),Yemen Arab Republic (Former),Yemen Democratic (Former),"Yemen, Rep.",Yugoslavia,Zambia,Zimbabwe
1916,,,,,,,,,,,"8,226,000",,,"4,955,000","6,825,000",,,,,,,"7,762,000",,,,,"1,986,000",,,"25,197,000",,,,,,,,"8,214,000",,,,,,"3,550,005","451,753,000",,,"5,609,000",,,,"8,800","400,000",,,"2,664,000",,,,"3,092,000",,,"803,000",,"1,731,000",,"1,074,000",,,,,,,,,"3,105,000","39,884,000",,,,,,"66,076,000",,,"5,541,000",,,,,"1,624,442",,,,,"1,988,000",,"685,000","550,000",,,,"48,953,900",,,"3,040,385",,,"38,142,000","845,000","53,815,000",,,,,,,"11,086,000",,,,,,,,,,,,,,,,,,"3,271,000",,,,,,,,,"14,940,000",,,,,,,,,"12,650,000",,,,"6,516,000",,,"1,155,000",,"712,419",,,,,,,"2,522,000",,,,"402,000",,"637,000","4,460,000","8,650,984",,,"5,996,000","1,235,000",,,,,,,,,,,,,,,,,,,,,,,"351,000",,,,,,,,,"20,673,000","4,971,000",,,,,"5,745,769","3,883,000",,"3,583,000",,,"9,094,000",,,,,,"367,000",,,,,,,,,"43,473,615","102,364,000","1,269,000",,,,,"2,929,000",,,,,,,,,,,
1917,,,,,,,,,,,"8,374,000",,,"4,950,000","6,785,000",,,,,,,"7,729,000",,,,,"2,023,000",,,"25,732,000",,,,,,,,"8,277,000",,,,,,"3,591,512","456,732,000",,,"5,754,000",,,,,"400,000",,,"2,746,000",,,,"3,130,000",,,"821,000",,"1,746,000",,"1,098,000",,,,,,,,,"3,124,000","39,288,000",,,,,,"65,763,000",,,"5,580,000",,,,,"1,641,397",,,,,"2,021,000",,"694,000","573,000",,,,"49,311,787",,,"3,040,385",,,"37,981,000","847,000","54,437,000",,,,,,,"11,263,000",,,,,,,,,,,,,,,,,,"3,337,000",,,,,,,,,"14,930,000",,,,,,,,,"12,760,000",,,,"6,654,000",,,"1,152,000",,"723,034",,,,,,,"2,551,000",,,,"422,000",,"652,000","4,517,000","8,817,265",,,"6,005,000","1,254,000",,,,,,,,,,,,,,,,,,,,,,,"360,000",,,,,,,,,"20,811,000","5,040,000",,,,,"5,783,402","3,888,000",,"3,621,000",,,"9,232,000",,,,,,"373,000",,,,,,,,,"43,573,615","103,817,000","1,292,000",,,,,"2,944,000",,,,,"26,000",,,,,,
1918,,,,,,,,,,,"8,518,000",,,"5,032,000","6,727,000",,,,,,,"7,660,000",,,,,"2,060,000",,,"26,277,000",,,,,,,,"8,374,000",,,,,,"3,634,043","461,766,000",,,"5,903,000",,,,,"410,000",,,"2,828,000",,,,"3,165,000",,,"840,000",,"1,760,000",,"1,121,000",,,,,,,,,"3,125,000","38,542,000",,,,,,"65,237,000",,,"5,620,000",,,,,"1,658,351",,,,,"2,055,000",,"702,000","597,000",,,,"49,549,432",,,"3,045,366",,"417,858","37,520,000","850,000","54,886,000",,,,,,,"11,443,000",,,,,,,,,,,,,,,,,,"3,404,000",,,,,,,,,"14,920,000",,,,,,,,,"12,871,000",,,,"6,752,000",,,"1,156,000",,"733,650",,,,,,,"2,578,000",,,,"442,000",,"667,000","4,574,000","8,987,029",,,"6,013,000","1,273,000",,,,,,,,,,,,,,,,,,,,,,,"370,000",,,,,,,,,"20,950,000","5,109,000",,,,,"5,820,509","3,880,000",,"3,658,000",,,"9,418,000",,,,,,"378,000",,,,,,,,,"43,529,634","104,958,000","1,316,000",,,,,"2,958,000","330,270",,,,,,,,,,
1919,,,,,,,,,,,"8,672,000",,,"5,193,000","6,420,000",,,,,,,"7,628,000",,,,,"2,098,000",,,"26,835,000",,,,,,,,"8,548,000",,,,,,"3,677,702","466,855,000",,,"6,056,000",,,,,"420,000",,,"2,912,000",,,,"3,202,000",,,"859,000",,"1,774,000",,"1,145,000",,,,,,,,,"3,117,000","38,700,000",,,,,,"60,547,000",,,"5,660,000",,,,,"1,675,305",,,,,"2,089,000",,"711,000","622,000",,,,"50,205,559",,,"3,096,596",,,"37,250,000","852,000","55,253,000",,,,,,,"11,627,000",,,,,,,,,,,,,,,,,,"3,473,000",,,,,,,,,"14,910,000",,,,,,,,,"12,893,000",,,,"6,805,000",,,"1,195,000",,"744,265",,,,,,,"2,603,000",,,,"464,000",,"683,000","4,631,000","9,160,275",,,"6,021,000","1,292,000",,,,,,,,,,,,,,,,,,,,,,,"380,000",,,,,,,,,"21,091,000","5,179,000",,,,,"5,827,488","3,869,000",,"3,692,000",,,"9,608,000",,,,,,"383,000",,,,,,,,,"43,437,404","105,473,000","1,341,000",,,,,"2,973,000",,,,,,,,,,,
1920,,,,"932,000",,"8,100",,,,,"8,861,000",,,"5,358,000","6,455,000",,,,,,,"7,552,000",,,,,"2,136,000",,,"27,404,000",,,"5,072,000",,,,,"8,798,000",,,,,,"3,722,598","472,000,000",,,"6,213,000",,,,,"420,000",,,"2,997,000",,,"12,979,000","3,242,000",,,"879,000",,"1,790,000",,"1,170,000","112,000",,,,,,,,"3,133,000","39,000,000",,,,,,"60,894,000",,,"5,700,000",,,,"14,000","1,692,260",,,,,"2,124,000",,"720,000","648,000","7,950,000",,,"50,864,527",,,"3,103,000",,,"37,398,000","855,000","55,818,000",,,,,,,"11,804,000",,,,,,,,,,,,,,"84,000",,,,"3,545,000",,,,,,,,,"14,900,000",,,,,,,,,"13,096,000",,,,"6,848,000",,,"1,241,000",,"754,881",,,,,,,"2,635,000",,,,"487,000",,"699,000","4,690,000","9,337,003",,"23,968,000","6,029,000","1,312,000",,,"12,340,000",,,,,,,,,,,,,,,,,,,,"391,000",,,,,,,,,"21,232,000","5,250,000",,,,,"5,851,973","3,877,000",,"3,736,000",,,"9,802,000",,,,,,"389,000",,,,,,,,,"43,718,000","106,881,000","1,371,000","154,607,000",,,,"2,992,000",,,,,,,,,"12,422,000",,
1921,,,,"937,000",,,,,,"30,000","9,092,000",,,"5,461,000","6,504,000",,"53,000",,,"157,000",,"7,504,000","45,000",,"20,000",,"2,161,000",,"153,000","27,969,000","5,100","26,000","5,148,000",,,,,"9,028,000",,"5,300",,,,"3,768,846","473,673,000",,,"6,374,000",,,,"9,500",,,,"3,083,000","311,000",,"13,008,000","3,285,000",,"37,000","912,000",,"1,805,000",,,,,,,,,,"157,000","3,170,000","39,240,000",,,,,,"61,573,000",,,"5,837,000",,"66,000",,,"1,710,274",,,,,"2,152,000",,"740,000","625,000","8,029,000",,,"51,474,261",,,"3,096,000",,,"37,691,000","860,000","56,490,000",,,,"2,574,000",,,"12,040,000",,,,,,,,,,,,,,,,,"1,202,000","3,618,000","70,000",,,,,,"376,000",,"14,895,000",,,,,,"12,000",,,"13,212,000","229,000",,,"6,921,000",,,"1,275,000",,"754,881",,"18,631,000",,,,,"2,668,000",,,,"489,000",,"715,000","4,764,000","9,517,214",,"24,330,000","6,071,000","1,336,000",,,"12,479,000",,,,"3,700",,"52,000",,"44,000",,"36,000",,,,,,,,"25,000",,"418,000",,,,,,,,,"21,411,000","5,304,000",,,,"113,000","5,904,600","3,876,000",,"3,797,000",,"4,314,332","10,000,000",,,,"25,000",,"367,000",,,,"5,500",,"2,921,000",,,"44,072,000","108,964,000","1,402,000","152,836,000",,,,"3,008,000",,,,,,,,,"12,607,000","984,000",
1922,,,,"942,000",,,,,,,"9,368,000",,,"5,574,000","6,528,000",,,,,,,"7,571,000",,,,,"2,186,000",,,"28,542,000",,,"5,255,000",,,,,"9,159,000",,,,,,"3,816,561","475,352,000",,,"6,539,000",,,,,,,,"3,170,000",,,"13,159,000","3,322,000",,,"946,000",,"1,820,000",,,,,,,,,,,"3,210,000","39,420,000",,,,,,"61,900,000",,,"5,890,000",,,,,"1,728,288",,,,,"2,181,000",,"770,000","638,000","8,103,000",,,"52,092,517",,,"3,002,000",,"455,836","38,086,000","879,000","57,209,000",,,,,,,"12,281,000",,,,,,,,,,,,,,,,,,"3,698,000",,,,,,,,,"15,129,000",,,,,,,,,"13,351,000",,,,"7,032,000",,,"1,304,000",,"766,676",,,,,,,"2,695,000",,,,"491,000",,"732,000","4,838,000","9,700,907",,"24,935,000","6,146,000","1,359,000",,,"12,666,000",,,,,,,,,,,,,,,,,,,,"436,000",,,,,,,,,"21,628,000","5,367,000",,,,,"5,949,945","3,874,000",,"3,870,000",,,"10,202,000",,,,,,"371,000",,,,,,,,,"44,372,000","110,484,000","1,433,000","152,403,000",,,,"3,025,000","360,287",,,,,,,,"12,796,000",,
1923,,,,"947,000",,,,,,,"9,707,000",,,"5,697,000","6,543,000",,,,,,,"7,635,000",,,,,"2,212,000",,,"29,126,000",,,"5,365,000",,,,,"9,256,000",,,,,,"3,865,863","477,037,000",,,"6,709,000",,,,,,,,"3,257,000",,,"13,293,000","3,356,000",,,"981,000",,"1,835,000",,,,,,,,,,,"3,243,000","39,880,000",,,,,,"62,307,000",,,"6,010,000",,,,,"1,746,302",,,,,"2,209,000",,"800,000","668,000","8,173,000",,,"52,720,240",,,"3,014,000",,,"38,460,000","891,000","57,937,000",,,,,,,"12,526,000",,,,,,,,,,,,,,,,,,"3,779,000",,,,,,,,,"15,367,000",,,,,,,,,"13,491,000",,,,"7,150,000",,,"1,326,000",,"766,676",,,,,,,"2,713,000",,,,"493,000",,"749,000","4,914,000","9,888,082",,"25,569,000","6,223,000","1,383,000",,,"12,843,000",,,,,,,,,,,,,,,,,,,,"458,000",,,,,,,,,"21,847,000","5,426,000",,,,,"5,981,646","3,883,000",,"3,940,000",,,"10,435,000",,,,,,"376,000",,"13,877,000",,,,,,,"44,596,000","112,387,000","1,465,000","153,055,000",,,,"3,049,000",,,,,,,,,"12,987,000",,
1924,,,,"952,000",,,,,,,"10,054,000",,,"5,819,000","6,562,000",,,,,,,"7,707,000",,,,,"2,237,000",,,"29,723,000",,,"5,476,000",,,,,"9,394,000",,,,,,"3,916,875","478,728,000",,,"6,882,000",,,,,,,,"3,345,000",,,"13,413,000","3,389,000",,,"1,017,000",,"1,850,000",,,,,,,,,,,"3,272,000","40,310,000",,,,,,"62,697,000",,,"6,000,000",,,,,"1,764,316",,,,,"2,239,000",,"820,000","696,000","8,232,000",,,"53,355,538",,,"3,005,000",,,"38,810,000","900,000","58,686,000",,,,,,,"12,777,000",,,,,,,,,,,,,,,,,,"3,863,000",,,,,,,,,"15,609,000",,,,,,,,,"13,633,000",,,,"7,264,000",,,"1,350,000",,"778,471",,,,,,,"2,729,000",,,,"495,000",,"767,000","4,992,000","10,078,740",,"25,992,000","6,300,000","1,407,000",,,"13,020,000",,,,,,,,,,,,,,,,,,,,"469,000",,,,,,,,,"22,069,000","5,452,000",,,,,"6,017,675","3,896,000",,"4,009,000",,,"10,673,000",,,,,,"379,000",,"13,968,000",,,,,,,"44,915,000","114,558,000","1,498,000","155,581,000",,,,"3,077,000",,,,,,,,,"13,180,000",,
1925,,,,"956,000",,,,,,,"10,358,000",,,"5,943,000","6,582,000",,,,,,,"7,779,000",,,,,"2,263,000",,,"30,332,000",,,"5,590,000",,,,,"9,549,000",,,,,,"3,969,721","480,425,000",,,"7,061,000",,,,,,,,"3,432,000",,,"13,537,000","3,425,000",,,"1,054,000",,"1,865,000",,,,,,,,,,,"3,304,000","40,610,000",,,,,,"63,166,000",,,"5,958,000",,,,,"1,782,330",,,,,"2,268,000",,"850,000","725,000","8,299,000",,,"54,001,250",,,"2,985,000",,,"39,165,000","910,000","59,522,000",,,,,,,"13,005,000",,,,,,,,,,,,,,,,,,"3,949,000",,,,,,,,,"15,854,000",,,,,,,,,"13,776,000",,,,"7,366,000",,,"1,382,000",,"778,471",,,,,,,"2,747,000",,,,"497,000",,"785,000","5,070,000","10,272,880",,"26,425,000","6,378,000","1,431,000",,,"13,209,000",,,,,,,,,,,,,,,,,,,,"492,000",,,,,,,,,"22,292,000","5,505,000",,,,,"6,045,717","3,910,000",,"4,095,000",,,"10,916,000",,,,,,"382,000",,"14,059,000",,,,,,,"45,059,000","116,284,000","1,534,000","158,983,000",,,,"3,114,000",,,,,,,,,"13,378,000",,
1926,,,,"962,000",,,,,,,"10,652,000",,,"6,064,000","6,603,000",,,,,,,"7,844,000",,,,,"2,289,000",,,"30,953,000",,,"5,705,000",,,,"2,547,668","9,713,000",,,,,,"4,024,523","482,128,000",,,"7,243,000",,,,"10,000",,,,"3,519,000",,,"13,644,000","3,452,000",,,"1,092,000",,"1,881,000",,,,,,,,,,,"3,339,000","40,870,000",,"36,000",,,,"63,630,000",,,"6,042,000",,,,,"1,800,344",,,,,"2,298,000",,"880,000","710,000","8,383,000",,,"54,655,484",,,"2,971,000",,,"39,502,000","930,000","60,490,000",,,,,,,"13,179,000",,,,,,,,,,,,,,,,,"1,293,000","4,038,000",,,,,,,,,"16,103,000",,,,,,,,,"13,921,000",,,,"7,471,000",,,"1,412,000",,"790,266",,,,,,,"2,763,000",,,,"499,000",,"803,000","5,150,000","10,469,632",,"26,815,000","6,457,000","1,455,000",,,"13,399,000",,,,,,,,,,"40,000",,,,,,,,,,"511,000",,,,,,,,,"22,518,000","5,545,000",,,,,"6,072,116","3,932,000",,"4,195,000",,,"11,165,000","442,000",,,,,"385,000",,"14,151,000",,,,,,,"45,232,000","117,857,000","1,571,000","162,621,000",,,,"3,152,000",,,,,,,,,"13,578,000",,
1927,,,,"967,000",,,,,,,"10,965,000",,,"6,188,000","6,623,000",,,,,,,"7,904,000",,,,,"2,316,000",,,"31,587,000",,,"5,798,000",,,,,"9,905,000",,,,,,"4,081,406","483,837,000",,,"7,431,000",,,,,,,,"3,606,000",,,"13,728,000","3,475,000",,,"1,131,000",,"1,896,000",,,,,,,,,,,"3,368,000","40,940,000",,,,,,"64,023,000",,,"6,127,000",,,,,"1,819,418",,,,,"2,328,000",,"890,000","725,000","8,454,000",,,"55,320,132",,,"2,957,000",,,"39,848,000","946,000","61,430,000",,,,,,,"13,356,000",,,,,,,,,,,,,,"157,000",,,,"4,128,000",,,,,,,,,"16,356,000",,,,,,,,,"14,067,000",,,,"7,576,000",,,"1,437,000",,"790,266",,,,,,,"2,775,000",,,,"502,000",,"822,000","5,230,000","10,712,524",,"27,148,000","6,538,000","1,478,000",,,"13,574,000",,,,,,,,,,,,,,,,,,,,"532,000",,,,,,,,,"22,747,000","5,591,000",,,,,"6,093,767","3,956,000",,"4,289,000",,,"11,419,000",,,,,,"388,000",,"14,250,000",,,,,,,"45,389,000","119,502,000","1,608,000","166,117,000",,,,"3,185,000",,,,,,,,,"13,780,000",,
1928,,,,"972,000",,,,,,,"11,282,000",,,"6,304,000","6,643,000",,,,,,,"7,968,000",,,,,"2,343,000",,,"32,234,000",,,"5,873,000",,,,,"10,107,000",,,,,,"4,140,494","485,552,000",,,"7,624,000",,,,,,,,"3,693,000",,,"13,807,000","3,497,000",,,"1,172,000",,"1,912,000",,,,,,,,,,,"3,396,000","41,050,000",,,,,,"64,393,000",,,"6,205,000",,,,,"1,838,491",,,,,"2,359,000",,"910,000","753,000","8,520,000",,,"55,993,301",,,"2,944,000",,,"40,186,000","966,000","62,361,000",,,,,,,"13,535,000",,,,,,,,,,,,,,,,,,"4,221,000",,,,,,,,,"16,613,000",,,,,,,,,"14,215,000",,,,"7,679,000",,,"1,454,000",,"790,266",,,,,,,"2,785,000",,,,"504,000",,"841,000","5,312,000","10,919,723",,"27,509,000","6,619,000","1,502,000",,,"13,760,000",,,,,,,,,,,,,,,,,,,,"553,000",,,,,,,,,"22,977,000","5,730,000",,,,,"6,105,474","3,988,000",,"4,388,000",,,"11,734,000",,,,,,"392,000",,"14,476,000",,,,,,,"45,578,000","120,971,000","1,646,000","169,269,000",,,,"3,221,000",,,,,,,,,"13,986,000",,
1929,,,,"977,000",,,,,,,"11,592,000",,,"6,396,000","6,664,000",,,,"34,427,000",,,"8,032,000",,,,,"2,370,000",,,"32,894,000",,,"5,950,000",,,,,"10,305,000",,,,,,"4,201,905","487,273,000",,,"7,821,000",,,,,,,,"3,742,000",,,"13,884,000","3,518,000",,,"1,213,000",,"1,928,000",,,,,,,,,,,"3,424,000","41,230,000",,,,,,"64,739,000",,,"6,275,000",,,,,"1,857,565",,,,,"2,390,000",,"930,000","785,000","8,583,000",,"275,861,000","56,677,832",,,"2,937,000",,,"40,469,000","985,000","63,244,000",,,,,,,"13,716,000",,,,,,,,,,,,,,,,,,"4,316,000",,,,,,,,,"16,875,000",,,,,,,,,"14,364,000",,,,"7,782,000",,,"1,471,000",,"802,061",,,,,,,"2,795,000",,"22,812,000",,"506,000",,"860,000","5,396,000","11,221,815",,"27,856,000","6,701,000","1,526,000",,,"13,952,000",,,,,,,,,,,,,,,,,,,,"575,000",,,,,,,,,"23,210,000","5,669,000",,,,,"6,120,967","4,022,000",,"4,493,000",,,"12,058,000",,,,,,"398,000",,"14,705,000",,,,,,,"45,672,000","122,245,000","1,685,000","172,017,000",,,,"3,259,000",,,,,,,,,"14,194,000",,
1930,,,,"982,000",,"10,000",,,,,"11,896,000",,,"6,469,000","6,684,000",,,,,,,"8,076,000",,,,,"2,397,000",,,"33,568,000",,,"6,027,000",,,,,"10,488,000",,,,,,"4,265,756","489,000,000",,,"7,914,000",,,,,,,,"3,837,000",,,"13,964,000","3,542,000",,,"1,256,000",,"1,944,000",,,,,,,,,,,"3,449,000","41,610,000",,,,,,"65,084,000",,,"6,351,000",,,,"19,000","1,876,639",,,,,"2,422,000",,"950,000","821,000","8,649,000",,,"57,371,831",,,"2,927,000",,,"40,791,000","1,009,000","64,203,000",,,,,,,"13,900,000",,,,,,,,,,,,,,,,,,"4,413,000",,,,,,,,,"17,175,000",,,,,,,,,"14,515,000",,,,"7,884,000",,,"1,493,000",,"802,061",,,,,,,"2,807,000",,,,"515,000",,"880,000","5,480,000","11,486,473",,"28,204,000","6,784,000","1,552,000",,,"14,141,000",,,,,,,,,,,,,,,,,,,,"596,000",,,,,,,,,"23,445,000","5,707,000",,,,,"6,130,024","4,051,000",,"4,614,000",,,"12,392,000",,,,,,"405,000",,"14,928,000",,,,,,,"45,866,000","123,668,000","1,713,000","174,212,000",,,,"3,300,000",,,,,"22,000",,,,"14,407,000",,
1931,,,,"988,000",,,,,,,"12,167,000",,,"6,527,000","6,705,000",,"60,000",,,,,"8,126,000","51,000",,"28,000",,"2,425,000",,,"34,256,000",,"30,000","6,106,000",,,,"3,023,000","10,657,000",,,,,,"4,332,156","492,640,000",,,"8,009,000",,,,,,,,"3,910,000","348,000",,"14,052,000","3,569,000",,,"1,300,000",,"1,995,000",,,,,,,,,,,"3,476,000","41,860,000",,"40,000",,,,"65,423,000",,,"6,440,000",,,,,"1,917,965",,,,,"2,453,000",,"970,000","840,000","8,723,000",,,"58,223,944",,,"2,933,000",,"588,805","41,132,000","1,039,000","65,205,000",,,,"3,041,000",,,"14,117,000",,,,,,,,,,,,,,,,,"1,603,000","4,513,000","79,000",,,,,,"393,000",,"17,480,000",,,,,,,,,"14,667,000",,,,"7,999,000",,,"1,514,000",,"813,856",,"19,158,000",,,,,"2,824,000",,,,"527,000",,"901,000","5,569,000","11,758,965",,"28,615,000","6,869,000","1,584,000",,,"14,355,000",,,,"4,200",,,,"48,000",,,,,,,,,,"27,000",,"563,000",,,"94,000",,,,,,"23,675,000","5,748,000",,,,,"6,142,264","4,080,000",,"4,742,000",,"5,299,000","12,735,000",,,,"29,000",,"412,000",,"15,174,000",,,,"3,554,000",,,"46,074,000","124,633,000","1,741,000","175,987,000",,,,"3,336,000","465,384",,,,,,,,"14,618,000","1,345,000",
1932,,,,"993,000",,,,,,,"12,402,000",,,"6,579,000","6,725,000",,,,,,,"8,186,000",,,,,"2,453,000",,,"34,957,000",,,"6,186,000",,,,,"10,794,000",,,,,,"4,401,207","496,307,000",,,"8,104,000",,,,,,,,"3,984,000",,,"14,138,000","3,603,000",,,"1,345,000",,"2,050,000",,,"167,000",,,,,,,,"3,503,000","41,860,000",,,,,,"65,716,000",,,"6,516,000",,,,,"1,970,947",,,,,"2,485,000",,"990,000","901,000","8,785,000",,,"59,079,844",,,"2,949,000",,"611,936","41,431,000","1,061,000","66,189,000",,,,,,,"14,338,000",,,,,,,,,,,,,,,,,,"4,604,000",,,,,,,,,"17,790,000",,,,,,,,,"14,870,000",,,,"8,123,000",,,"1,527,000",,"813,856",,,,,,,"2,842,000",,,,"543,000",,"922,000","5,660,000","12,039,293",,"29,022,000","6,954,000","1,615,000",,,"14,554,000",,,,,,,,,,,,,,,,,,,,"580,000",,,,,,,,,"23,897,000","5,788,000",,,,,"6,162,895","4,102,000",,"4,867,000",,,"13,087,000",,,,,,"417,000",,"15,414,000",,,,,,,"46,335,000","125,436,000","1,770,000","176,807,000",,,,"3,368,000","483,666",,,,,,,,"14,819,000",,
1933,,,,"998,000",,,,,,,"12,623,000",,,"6,631,000","6,746,000",,,,,,,"8,231,000",,,,,"2,482,000",,,"35,673,000",,,"6,267,000",,,,,"10,919,000",,,,,,"4,473,001","500,000,000",,,"8,201,000",,,,,,,,"4,060,000",,,"14,216,000","3,633,000",,,"1,391,000",,"2,095,000",,,,,,,,,,,"3,526,000","41,890,000",,,,,,"66,027,000",,,"6,591,000",,,,,"2,023,930",,,,,"2,517,000",,"1,010,000","923,000","8,848,000",,,"59,945,213",,,"2,962,000",,"649,925","41,753,000","1,082,000","67,182,000",,,,,,,"14,562,000",,,,,,,,,,,,,,,,,,"4,697,000",,,,,,,,,"18,115,000",,,,,,,,,"15,075,000",,,,"8,237,000",,,"1,540,000",,"825,651",,,,,,,"2,858,000",,,,"559,000",,"944,000","5,752,000","12,325,715",,"29,421,000","7,040,000","1,647,000",,,"14,730,000",,,,,,,,,,,,,,,,,,,,"515,000",,,,,,,,,"24,122,000","5,825,000",,,,,"6,187,929","4,122,000",,"4,995,000",,,"13,399,000",,,,,,"422,000",,"15,658,000",,,,,,,"46,520,000","126,180,000","1,799,000","177,401,000",,,,"3,401,000","513,691",,,,,,,,"15,022,000",,
1934,,,,"1,003,000",,,,,,,"12,834,000",,,"6,682,000","6,760,000",,,,,,,"8,262,000",,,,,"2,511,000",,,"36,404,000",,,"6,349,000",,,,,"11,030,000",,,,,,"4,547,615","502,639,000",,,"8,299,000",,,,,,,,"4,137,000",,,"14,282,000","3,666,000",,,"1,438,000",,"2,140,000",,,,,,,,,,,"3,549,000","41,950,000",,,,,,"66,409,000",,,"6,688,000",,,,,"2,055,719",,,,,"2,549,000",,"1,020,000","944,000","8,919,000",,,"60,827,623",,,"2,971,000",,"689,309","42,093,000","1,098,000","68,090,000",,,,,,,"14,789,000",,,,,,,,,,,,,,,,,,"4,793,000",,,,,,,,,"18,445,000",,,,,,,,,"15,283,000",,,,"8,341,000",,,"1,552,000",,"837,446",,,,,,,"2,874,000",,,,"576,000",,"966,000","5,846,000","12,620,842",,"29,771,000","7,127,000","1,679,000",,,"14,924,000",,,,,,,,,,,,,,,,,,,,"525,000",,,,,,,,,"24,349,000","5,872,000",,,,,"6,210,013","4,140,000",,"5,128,000",,,"13,718,000",,,,,,"428,000",,"15,906,000",,,,,,,"46,666,000","126,978,000","1,829,000","178,453,000",,,,"3,431,000","544,820",,,,,,,,"15,228,000",,
1935,,,,"1,009,000",,,,,,,"13,044,000",,,"6,732,000","6,761,000",,,,,,,"8,288,000",,,,,"2,540,000",,,"37,150,000",,,"6,415,000",,,,,"11,136,000",,,,,,"4,625,112","505,292,000",,,"8,398,000",,,,,,,,"4,221,000",,,"14,339,000","3,695,000",,,"1,484,000",,"2,196,000",,,,,,,,,,,"3,576,000","41,940,000",,,,,,"66,871,000",,,"6,793,000",,,,,"2,098,105",,,,,"2,582,000",,"1,040,000","966,000","8,985,000",,,"61,723,289",,,"2,971,000",,"744,301","42,429,000","1,113,000","69,238,000",,,,,,,"15,020,000",,,,,,,,,,,,,,,,,,"4,890,000",,,,,,,,,"18,781,000",,,,,,,,,"15,494,000",,,,"8,434,000",,,"1,562,000",,"861,036",,,,,,,"2,889,000",,,,"592,000",,"988,000","5,941,000","12,922,064",,"30,129,000","7,216,000","1,710,000",,,"15,069,000",,,,,,,,,,,,,,,,,,,,"572,000",,,,,,,,,"24,579,000","5,897,000",,,,,"6,231,741","4,155,000",,"5,255,000",,,"14,045,000","461,000",,,,,"435,000",,"16,158,000",,,,,,,"46,868,000","127,859,000","1,859,000","179,636,000",,,,"3,465,000","588,286",,,,,,,,"15,439,000",,
